RAPORT Z EGZAMINU WSTEPNEGO
========================================================================================
| POZ  |  ID  | MATURA | TEORIA | PRAKT. | SUMA(T+P) | STATUS                      |
| #545 | 0557 | TAK |   38%  |   63%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #546 | 0668 | TAK |   45%  |   56%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #547 | 0718 | TAK |   43%  |   58%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #548 | 0720 | TAK |   57%  |   44%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #549 | 0752 | TAK |   74%  |   27%  |  101 | OBLANY (Praktyka) |
| #550 | 0753 | TAK |   45%  |   56%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #551 | 0760 | TAK |   53%  |   48%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #552 | 0784 | TAK |   51%  |   50%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #553 | 0821 | TAK |   70%  |   31%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #554 | 0963 | TAK |   66%  |   35%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #555 | 0983 | TAK |   66%  |   35%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #556 | 1021 | TAK |   56%  |   45%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #557 | 1028 | TAK |   53%  |   48%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #558 | 1039 | TAK |   60%  |   41%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #559 | 1042 | TAK |   37%  |   64%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #560 | 1156 | TAK |   57%  |   44%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #561 | 1187 | TAK |   52%  |   49%  |  101 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #562 | 0020 | TAK |   53%  |   47%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #563 | 0048 | TAK |   42%  |   58%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #564 | 0068 | TAK |   55%  |   45%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #565 | 0074 | TAK |   50%  |   50%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #566 | 0195 | TAK |   55%  |   45%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #567 | 0361 | TAK |   54%  |   46%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #568 | 0441 | TAK |   57%  |   43%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #569 | 0617 | TAK |   51%  |   49%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #570 | 0690 | TAK |   43%  |   57%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #571 | 0742 | TAK |   48%  |   52%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #572 | 0769 | TAK |   52%  |   48%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #573 | 0782 | TAK |   45%  |   55%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #574 | 0788 | TAK |   45%  |   55%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #575 | 0875 | TAK |   64%  |   36%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #576 | 0917 | TAK |   41%  |   59%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #577 | 0968 | TAK |   51%  |   49%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #578 | 0980 | TAK |   46%  |   54%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #579 | 1003 | TAK |   63%  |   37%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #580 | 1026 | TAK |   38%  |   62%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #581 | 1147 | TAK |   41%  |   59%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #582 | 1166 | TAK |   42%  |   58%  |  100 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #583 | 0139 | TAK |   41%  |   58%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #584 | 0289 | TAK |   43%  |   56%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #585 | 0298 | TAK |   31%  |   68%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #586 | 0369 | TAK |   54%  |   45%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #587 | 0402 | TAK |   44%  |   55%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #588 | 0421 | TAK |   52%  |   47%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #589 | 0444 | TAK |   41%  |   58%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #590 | 0491 | TAK |   36%  |   63%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #591 | 0571 | TAK |   61%  |   38%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #592 | 0586 | TAK |   55%  |   44%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #593 | 0630 | TAK |   42%  |   57%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #594 | 0695 | TAK |   56%  |   43%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #595 | 0755 | TAK |   41%  |   58%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #596 | 0830 | TAK |   38%  |   61%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #597 | 0843 | TAK |   50%  |   49%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #598 | 0865 | TAK |   67%  |   32%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #599 | 0887 | TAK |   57%  |   42%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #600 | 0941 | TAK |   70%  |   29%  |   99 | OBLANY (Praktyka) |
| #601 | 1015 | TAK |   42%  |   57%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #602 | 1060 | TAK |   51%  |   48%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #603 | 1076 | TAK |   30%  |   69%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #604 | 1085 | TAK |   36%  |   63%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #605 | 1103 | TAK |   50%  |   49%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #606 | 1135 | TAK |   48%  |   51%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #607 | 1189 | TAK |   49%  |   50%  |   99 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #608 | 0032 | TAK |   50%  |   48%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #609 | 0086 | TAK |   43%  |   55%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #610 | 0122 | TAK |   67%  |   31%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #611 | 0131 | TAK |   54%  |   44%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #612 | 0203 | TAK |   53%  |   45%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #613 | 0247 | TAK |   52%  |   46%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #614 | 0251 | TAK |   30%  |   68%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #615 | 0276 | TAK |   53%  |   45%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #616 | 0319 | TAK |   34%  |   64%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #617 | 0326 | TAK |   50%  |   48%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #618 | 0460 | TAK |   42%  |   56%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #619 | 0555 | TAK |   42%  |   56%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #620 | 0593 | TAK |   45%  |   53%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #621 | 0741 | TAK |   50%  |   48%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #622 | 0747 | TAK |   58%  |   40%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #623 | 0770 | TAK |   52%  |   46%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #624 | 0862 | TAK |   70%  |   28%  |   98 | OBLANY (Praktyka) |
| #625 | 0934 | TAK |   46%  |   52%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #626 | 1134 | TAK |   51%  |   47%  |   98 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #627 | 0123 | TAK |   31%  |   66%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #628 | 0260 | TAK |   53%  |   44%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #629 | 0263 | TAK |   38%  |   59%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #630 | 0359 | TAK |   50%  |   47%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #631 | 0423 | TAK |   54%  |   43%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #632 | 0453 | TAK |   33%  |   64%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #633 | 0616 | TAK |   47%  |   50%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #634 | 0663 | TAK |   47%  |   50%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #635 | 0678 | TAK |   64%  |   33%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #636 | 0702 | TAK |   58%  |   39%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #637 | 0743 | TAK |   52%  |   45%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #638 | 0772 | TAK |   56%  |   41%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #639 | 0809 | TAK |   66%  |   31%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #640 | 0814 | TAK |   49%  |   48%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #641 | 0879 | TAK |   52%  |   45%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #642 | 0953 | TAK |   34%  |   63%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #643 | 1016 | TAK |   37%  |   60%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #644 | 1072 | TAK |   46%  |   51%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #645 | 1091 | TAK |   31%  |   66%  |   97 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #646 | 0038 | TAK |   57%  |   39%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #647 | 0069 | TAK |   45%  |   51%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #648 | 0100 | TAK |   56%  |   40%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #649 | 0124 | TAK |   54%  |   42%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #650 | 0165 | TAK |   46%  |   50%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #651 | 0230 | TAK |   38%  |   58%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #652 | 0314 | TAK |   54%  |   42%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #653 | 0360 | TAK |   50%  |   46%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #654 | 0389 | TAK |   58%  |   38%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #655 | 0432 | TAK |   49%  |   47%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #656 | 0466 | TAK |   55%  |   41%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #657 | 0573 | TAK |   59%  |   37%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #658 | 0717 | TAK |   53%  |   43%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #659 | 0722 | TAK |   49%  |   47%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #660 | 0746 | TAK |   51%  |   45%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #661 | 0792 | TAK |   44%  |   52%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #662 | 0845 | TAK |   44%  |   52%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #663 | 0863 | TAK |   32%  |   64%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #664 | 0914 | TAK |   35%  |   61%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #665 | 0930 | TAK |   51%  |   45%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #666 | 1005 | TAK |   50%  |   46%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #667 | 1025 | TAK |   37%  |   59%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #668 | 1057 | TAK |   45%  |   51%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #669 | 1084 | TAK |   36%  |   60%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #670 | 1092 | TAK |   52%  |   44%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #671 | 1095 | TAK |   53%  |   43%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #672 | 1128 | TAK |   75%  |   21%  |   96 | OBLANY (Praktyka) |
| #673 | 1144 | TAK |   37%  |   59%  |   96 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #674 | 0019 | TAK |   48%  |   47%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #675 | 0050 | TAK |   57%  |   38%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #676 | 0121 | TAK |   39%  |   56%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #677 | 0146 | TAK |   57%  |   38%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #678 | 0185 | TAK |   68%  |   27%  |   95 | OBLANY (Praktyka) |
| #679 | 0243 | TAK |   50%  |   45%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #680 | 0301 | TAK |   44%  |   51%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #681 | 0309 | TAK |   34%  |   61%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #682 | 0337 | TAK |   37%  |   58%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #683 | 0339 | TAK |   70%  |   25%  |   95 | OBLANY (Praktyka) |
| #684 | 0345 | TAK |   32%  |   63%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #685 | 0390 | TAK |   46%  |   49%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #686 | 0422 | TAK |   57%  |   38%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #687 | 0442 | TAK |   45%  |   50%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #688 | 0463 | TAK |   40%  |   55%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #689 | 0484 | TAK |   52%  |   43%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #690 | 0490 | TAK |   58%  |   37%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #691 | 0657 | TAK |   42%  |   53%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #692 | 0715 | TAK |   49%  |   46%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #693 | 0849 | TAK |   53%  |   42%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #694 | 0864 | TAK |   53%  |   42%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #695 | 0885 | TAK |   53%  |   42%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #696 | 0923 | TAK |   38%  |   57%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #697 | 1196 | TAK |   62%  |   33%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #698 | 1199 | TAK |   48%  |   47%  |   95 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #699 | 0051 | TAK |   31%  |   63%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #700 | 0059 | TAK |   55%  |   39%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #701 | 0098 | TAK |   45%  |   49%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #702 | 0120 | TAK |   42%  |   52%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #703 | 0182 | TAK |   60%  |   34%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #704 | 0362 | TAK |   41%  |   53%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #705 | 0373 | TAK |   38%  |   56%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #706 | 0381 | TAK |   38%  |   56%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #707 | 0457 | TAK |   51%  |   43%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #708 | 0540 | TAK |   45%  |   49%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #709 | 0813 | TAK |   34%  |   60%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #710 | 0841 | TAK |   45%  |   49%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #711 | 0874 | TAK |   59%  |   35%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #712 | 0996 | TAK |   30%  |   64%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #713 | 1019 | TAK |   31%  |   63%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #714 | 1130 | TAK |   34%  |   60%  |   94 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #715 | 0016 | TAK |   62%  |   31%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #716 | 0030 | TAK |   52%  |   41%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #717 | 0056 | TAK |   55%  |   38%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #718 | 0064 | TAK |   45%  |   48%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #719 | 0180 | TAK |   45%  |   48%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #720 | 0193 | TAK |   52%  |   41%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #721 | 0206 | TAK |   50%  |   43%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #722 | 0248 | TAK |   51%  |   42%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #723 | 0368 | TAK |   42%  |   51%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #724 | 0386 | TAK |   47%  |   46%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #725 | 0387 | TAK |   53%  |   40%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #726 | 0691 | TAK |   39%  |   54%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #727 | 0796 | TAK |   55%  |   38%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #728 | 0822 | TAK |   57%  |   36%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #729 | 0853 | TAK |   53%  |   40%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #730 | 0899 | TAK |   41%  |   52%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #731 | 0909 | TAK |   42%  |   51%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #732 | 0932 | TAK |   54%  |   39%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #733 | 0943 | TAK |   50%  |   43%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #734 | 1013 | TAK |   53%  |   40%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #735 | 1017 | TAK |   52%  |   41%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #736 | 1040 | TAK |   32%  |   61%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #737 | 1069 | TAK |   60%  |   33%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #738 | 1129 | TAK |   60%  |   33%  |   93 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #739 | 0005 | TAK |   54%  |   38%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #740 | 0091 | TAK |   46%  |   46%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #741 | 0157 | TAK |   51%  |   41%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #742 | 0286 | TAK |   40%  |   52%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #743 | 0287 | TAK |   33%  |   59%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #744 | 0329 | TAK |   47%  |   45%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #745 | 0334 | TAK |   40%  |   52%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #746 | 0385 | TAK |   55%  |   37%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #747 | 0404 | TAK |   32%  |   60%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #748 | 0426 | TAK |   38%  |   54%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #749 | 0581 | TAK |   53%  |   39%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #750 | 0703 | TAK |   56%  |   36%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #751 | 0799 | TAK |   34%  |   58%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #752 | 0800 | TAK |   37%  |   55%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #753 | 0838 | TAK |   50%  |   42%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #754 | 0858 | TAK |   33%  |   59%  |   92 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #755 | 0085 | TAK |   49%  |   42%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #756 | 0307 | TAK |   44%  |   47%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #757 | 0348 | TAK |   62%  |   29%  |   91 | OBLANY (Praktyka) |
| #758 | 0411 | TAK |   63%  |   28%  |   91 | OBLANY (Praktyka) |
| #759 | 0495 | TAK |   44%  |   47%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #760 | 0528 | TAK |   37%  |   54%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #761 | 0547 | TAK |   46%  |   45%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #762 | 0568 | TAK |   36%  |   55%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #763 | 0684 | TAK |   38%  |   53%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #764 | 0698 | TAK |   34%  |   57%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #765 | 0729 | TAK |   66%  |   25%  |   91 | OBLANY (Praktyka) |
| #766 | 0758 | TAK |   58%  |   33%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #767 | 0761 | TAK |   46%  |   45%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #768 | 0828 | TAK |   47%  |   44%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #769 | 0857 | TAK |   59%  |   32%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #770 | 0889 | TAK |   42%  |   49%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #771 | 0904 | TAK |   49%  |   42%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #772 | 0944 | TAK |   52%  |   39%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #773 | 0985 | TAK |   37%  |   54%  |   91 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #774 | 0003 | TAK |   47%  |   43%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #775 | 0012 | TAK |   50%  |   40%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #776 | 0054 | TAK |   45%  |   45%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #777 | 0184 | TAK |   54%  |   36%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #778 | 0382 | TAK |   36%  |   54%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #779 | 0384 | TAK |   42%  |   48%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #780 | 0558 | TAK |   37%  |   53%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #781 | 0599 | TAK |   61%  |   29%  |   90 | OBLANY (Praktyka) |
| #782 | 0687 | TAK |   34%  |   56%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #783 | 0807 | TAK |   60%  |   30%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #784 | 0886 | TAK |   52%  |   38%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #785 | 0891 | TAK |   48%  |   42%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #786 | 1098 | TAK |   34%  |   56%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #787 | 1101 | TAK |   46%  |   44%  |   90 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #788 | 0072 | TAK |   55%  |   34%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #789 | 0210 | TAK |   58%  |   31%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #790 | 0290 | TAK |   45%  |   44%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #791 | 0315 | TAK |   36%  |   53%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #792 | 0505 | TAK |   30%  |   59%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #793 | 0522 | TAK |   66%  |   23%  |   89 | OBLANY (Praktyka) |
| #794 | 0526 | TAK |   77%  |   12%  |   89 | OBLANY (Praktyka) |
| #795 | 0544 | TAK |   38%  |   51%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #796 | 0620 | TAK |   38%  |   51%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #797 | 0673 | TAK |   60%  |   29%  |   89 | OBLANY (Praktyka) |
| #798 | 0692 | TAK |   53%  |   36%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #799 | 0867 | TAK |   57%  |   32%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #800 | 0967 | TAK |   49%  |   40%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #801 | 1035 | TAK |   65%  |   24%  |   89 | OBLANY (Praktyka) |
| #802 | 1041 | TAK |   35%  |   54%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #803 | 1066 | TAK |   49%  |   40%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #804 | 1113 | TAK |   37%  |   52%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
